,Model Names,Weighted Mean Bias
20,ACCESS-CM2,2.5504816308522478
18,ACCESS-ESM1-5,-1.798327745543687
9,AWI-CM-1-1-MR,-1.7386274152305885
4,CAMS-CSM1-0,7.7287684145931825
1,CAS-ESM2-0,8.38286132340407
28,CESM2-WACCM,2.4332135507977393
11,CMCC-CM2-SR5,5.76091911511131
12,CMCC-ESM2,5.708358220418975
26,CanESM5,0.3741805963702289
0,E3SM-1-1,6.367486470577868
29,E3SM-1-1-ECA,6.507596419419902
3,E3SM-Project,6.44894001928828
14,EC-Earth3,2.1113400451948197
22,EC-Earth3-Veg,2.1566974473489697
23,EC-Earth3-Veg-LR,1.2991953289392912
8,FGOALS-f3-L,3.398845780069132
17,FGOALS-g3,-2.691241151487976
21,GFDL-ESM4,-1.0812374647856238
15,IITM-ESM,8.664708673984908
6,INM-CM4-8,3.3460837336062847
7,INM-CM5-0,3.1432912465849165
13,IPSL-CM6A-LR,0.5493736461151019
2,KIOST-ESM,4.875194667492745
27,MIROC6,8.751959299551705
5,MPI-ESM1-2-HR,-0.6241406334651984
30,MPI-ESM1-2-LR,-0.14186719315973167
25,MRI-ESM2-0,3.1954290639644727
31,Model Mean,3.175307572249122
24,NESM3,0.6071641296153378
19,NorESM2-LM,2.98796679910003
16,NorESM2-MM,2.8007454871848347
10,TaiESM1,-1.1911030550080346
